orig.ident,nCount_RNA,nFeature_RNA,Sample,Condition,Doublet,cell_type_1,S.Score,G2M.Score,Phase,nCount_SCT,nFeature_SCT,SCT_snn_res.0.5,seurat_clusters,percent.mt,percent.rib,RNA_snn_res.0.6,RNA_snn_res.0.8,RNA_snn_res.1,RNA_snn_res.1.2,RNA_snn_res.1.4,Celltypes,CelltypesDetailed,RNA_DebrisFilt_res1,cell_class,AddModuleScore_FA95,AddModuleScore_FA96,FA_95_UCell,FA_96_UCell,UMAP_1,UMAP_2
snRNA_MCAO_all,2542.16990252461,1530,sn_D3,7DPI,Singlet,Neuro 1,-0.0127971329723851,-0.0107088567990349,G1,5324,1697,25,1,0.0970664053130039,0.477109652427363,1,1,1,0,1,NeuronsGABA,NeuronsGABA1,1,Neuron,0.0883003271579759,0.0946883741235118,0.04043787153835,0.0400304282925709,-6.164564066523152,-0.5862509972204706
snRNA_MCAO_all,11172.0847415216,3821,sn_D3,7DPI,Singlet,Glutamatergic 2,-0.0274731470902026,5.9449134705959e-4,G2M,6892,3308,3,6,0,0.107199485338478,8,7,7,6,5,NeuronsGLUT,NeuronsGLUT2,6,Neuron,0.0576971325056883,0.0556832831574686,0.0724735392199507,0.0717433115168217,-2.873268776529866,7.585449897612141
snRNA_MCAO_all,1184.51765294696,943,sn_D3,7DPI,Singlet,MG,-0.0248082845793176,-0.0368713914037399,G1,4433,1636,6,9,0.411263394179086,0.618356193412817,10,9,9,10,10,Microglia,Microglia1,9,Microglia,0.109416124609768,0.126633964566814,0.0748368856024358,0.0816683890228499,4.564594573384685,1.4742818706880072
snRNA_MCAO_all,4555.20239218733,2086,sn_D3,7DPI,Singlet,GABAergic 1,-0.0079316823920564,-0.0224794760765144,G1,5756,2075,1,2,0.13536086909881,0.233049070410356,2,2,2,1,2,NeuronsGABA,NeuronsGABA2,2,Neuron,0.00588377199140125,0.00102294775481879,0.0483543569667971,0.047867148926398,-7.723461561792927,-9.047351635133221
snRNA_MCAO_all,1055.93792792373,786,sn_D3,7DPI,Singlet,OLIGO,-0.0138530510304199,0.00561742862743159,G2M,4764,1508,0,0,0.313634769133144,0.592387952803536,0,0,0,2,9,OLs,OLs2,0,Oligodendrocyte,-0.0449855045464964,-0.0492121905727188,0.019689720168189,0.0194913308072109,12.581960267430706,0.15079197373490127
snRNA_MCAO_all,6328.95518572685,2915,sn_D3,7DPI,Singlet,Glutamatergic 1,-0.0105567405111871,-0.0225020409567175,G1,6496,2886,12,14,0,0.113960288799152,13,14,14,16,16,NeuronsGLUT,NeuronsGLUT7,14,Neuron,-0.0373658838718933,-0.0435516300694964,0.0223575467594607,0.0221322769548743,-8.518600874537068,3.0751199358354073
snRNA_MCAO_all,3784.46748003857,2133,sn_D3,7DPI,Singlet,PER/Endo,-0.0256068437206233,0.00937590119127168,G2M,4976,2148,13,15,8.08465193546546,5.00071451815097,14,15,15,17,17,EndothelialCells,EndothelialCells,15,Endothelial_Pericyte,0.183791646852465,0.179884951320809,0.113839350442221,0.112692329773797,5.7268434232534595,-13.13091734710832
snRNA_MCAO_all,2453.17239001315,1463,sn_D3,7DPI,Singlet,OLIGO,-0.015664160908159,0.0342132642877606,G2M,5234,1658,0,0,4.66967731481134,1.54220376523394,0,0,0,2,9,OLs,OLs2,0,Oligodendrocyte,-0.041127798923867503,-0.0388091208876195,0.0208858924169929,0.0206754506832013,11.431444711095256,-0.19674185577531067
snRNA_MCAO_all,3554.55409327119,1736,sn_D3,7DPI,Singlet,OLIGO,0.0398639355459818,0.0580773492994831,G2M,5427,1754,0,0,0.0999226062748177,0.211919903547611,0,0,0,3,0,OLs,OLs1,0,Oligodendrocyte,0.0372346975524434,0.0398102206203521,0.0372843265187763,0.0369086577104145,13.237681931859417,3.2392062776933175
snRNA_MCAO_all,4791.50884511349,2387,sn_D3,7DPI,Singlet,Glutamatergic 10,-0.0290945075879259,-0.0298172678598503,G1,5750,2373,23,19,0.0957466407813062,0.199560231133025,18,20,20,23,23,NeuronsGLUT,NeuronsGLUT9,19,Neuron,0.0158774855660625,0.0107801451830545,0.0473104248223866,0.0468337352164427,-3.885588102930623,12.662779056395099
