"logFC","logCPM","PValue","FDR","Gene","Dataset","Species"
1.52183926654289,2.9538375861786,8.65834036906157e-15,2.51458749531983e-12,"Map3k14","GSE104036","Mouse"
2.4069300551478,1.51690885416411,9.97163426671666e-15,2.82668848530516e-12,"Cxcl16","GSE104036","Mouse"
5.5882687165326,0.79307788260249,1.00629120282238e-14,2.82668848530516e-12,"Sele","GSE104036","Mouse"
2.81092508019197,0.351385807481162,1.0258602843655e-14,2.83517999558111e-12,"A3galt2","GSE104036","Mouse"
2.78775484963583,2.82435592726811,1.06958407891768e-14,2.90909891940547e-12,"Icam1","GSE104036","Mouse"
2.26173173577563,2.22107802427162,1.13240631768905e-14,3.03184097712528e-12,"Col5a3","GSE104036","Mouse"
1.84162651517578,3.93878400331582,1.35665695250098e-14,3.57635644324683e-12,"Gadd45b","GSE104036","Mouse"
1.26755492795557,6.38616457656744,1.47592302722767e-14,3.82902794897565e-12,"Stat3","GSE104036","Mouse"
-0.880169457412687,6.96922708072626,1.49719797246203e-14,3.82902794897565e-12,"Lzts3","GSE104036","Mouse"
1.90617916375149,6.38724532907048,1.61880229413644e-14,4.07914372206293e-12,"Dnajb1","GSE104036","Mouse"
2.25065804388969,5.79613270859902,2.04196074819635e-14,5.07086919135426e-12,"Vim","GSE104036","Mouse"
1.14223522147321,6.69310350459847,2.24083026728826e-14,5.48523237571204e-12,"Slc5a3","GSE104036","Mouse"
1.4722304266462,5.57807515072729,2.42734360465225e-14,5.85810319235442e-12,"Mt2","GSE104036","Mouse"
4.10571060898268,0.171672477693045,3.21140815331982e-14,7.642705375991e-12,"Ifi204","GSE104036","Mouse"
2.28156784756754,3.46180375496162,3.5634434000767e-14,8.36432913154989e-12,"Chac1","GSE104036","Mouse"
3.11120581342757,4.20904854346566,3.92764429009184e-14,9.09461958253023e-12,"Cd44","GSE104036","Mouse"
-1.41265859176274,3.3453768041038,4.13642683720381e-14,9.45035651406497e-12,"Tmem119","GSE104036","Mouse"
0.992174873751967,5.6109290351765,4.96165432737042e-14,1.11865719604595e-11,"Slc16a1","GSE104036","Mouse"
0.993297299513652,5.53798970536158,6.99797593364341e-14,1.55727685224649e-11,"Ssfa2","GSE104036","Mouse"
5.46828664662728,-1.02173018089042,7.25976162335812e-14,1.59389401888903e-11,"Slamf8","GSE104036","Mouse"
1.24229413718958,4.16226440736318,7.348563028435e-14,1.59389401888903e-11,"Adcy7","GSE104036","Mouse"
2.17339908421327,1.84455989958134,1.31068619026132e-13,2.80732598376597e-11,"1810032O08Rik","GSE104036","Mouse"
2.31956271069485,4.70314995732183,1.34977155258995e-13,2.85535006834924e-11,"Plek","GSE104036","Mouse"
-0.823302785240363,6.7609567434073,1.5611678725316e-13,3.26226969461328e-11,"Jph4","GSE104036","Mouse"
3.86927403788282,1.73052077434605,1.82345422937882e-13,3.76444436390435e-11,"Cd72","GSE104036","Mouse"
0.994268372964221,7.18477078133132,1.94267213779024e-13,3.96281989059949e-11,"Tnpo1","GSE104036","Mouse"
2.17966629478731,1.67673025272961,2.18831082554827e-13,4.4113771759729e-11,"Ifi30","GSE104036","Mouse"
-0.89368485591028,6.0754849132858,2.22223072445589e-13,4.42766551901763e-11,"Olfm2","GSE104036","Mouse"
1.90545682375106,2.90120768502233,2.37593315320127e-13,4.67949592874755e-11,"Sphk1","GSE104036","Mouse"
4.9663629203025,1.9466351158216,2.61911993188644e-13,5.09984318555388e-11,"Gp49a","GSE104036","Mouse"
1.32237605979712,3.91220064829063,2.83429309737871e-13,5.45681036220048e-11,"Ppp1r15a","GSE104036","Mouse"
1.98924968815923,4.65016218059509,3.29347718490252e-13,6.22493132477462e-11,"Sesn2","GSE104036","Mouse"
8.0398973941064,-1.14805107640323,3.30591625651877e-13,6.22493132477462e-11,"Serpina3m","GSE104036","Mouse"
-1.04163600231374,4.60894543519994,3.45743797532005e-13,6.4394782290336e-11,"Rgs14","GSE104036","Mouse"
2.65905401401029,5.49152636794049,3.84736342964353e-13,7.08866369537009e-11,"Adamts1","GSE104036","Mouse"
2.00377185794386,1.69266038084122,4.84048253906658e-13,8.82358173477721e-11,"Eif4ebp1","GSE104036","Mouse"
1.41569627606393,2.66947853516389,5.3264025783176e-13,9.60714822941812e-11,"Cecr2","GSE104036","Mouse"
-0.864454860727009,6.38780673957913,6.31105566930894e-13,1.12645769680842e-10,"C1qtnf4","GSE104036","Mouse"
1.70533405865056,2.5825995134608,7.13210521653515e-13,1.25241833501211e-10,"Parp14","GSE104036","Mouse"
-1.57807125840803,2.99259009089529,7.16294116318569e-13,1.25241833501211e-10,"Ppp1r3g","GSE104036","Mouse"
2.98899520189652,2.09340285890321,7.88620484308756e-13,1.36495070693238e-10,"Plaur","GSE104036","Mouse"
-0.956373096544978,7.50193839622467,8.74041407495224e-13,1.49766995174307e-10,"Tuba4a","GSE104036","Mouse"
2.20806157088947,3.37699223181333,1.18355999361248e-12,2.00795054361879e-10,"Itga5","GSE104036","Mouse"
4.1720290692084,0.230784631987418,1.23113898033863e-12,2.06819278706887e-10,"Fcgr4","GSE104036","Mouse"
2.41697312319394,1.57338200187191,1.2526010365658e-12,2.08381735549077e-10,"Nlrc5","GSE104036","Mouse"
-0.956654697566572,6.67495155324704,1.44181145353401e-12,2.37552300541397e-10,"Tagln3","GSE104036","Mouse"
3.44294751505424,0.679010236344844,1.5403834911407e-12,2.51375915435199e-10,"Trib3","GSE104036","Mouse"
1.56673474335761,3.940861041029,1.86414492107051e-12,3.01340785118333e-10,"Rdh10","GSE104036","Mouse"
-0.986557861380254,6.95040017841255,1.98533177555452e-12,3.17931401627352e-10,"Cadps2","GSE104036","Mouse"
