"logFC","logCPM","PValue","FDR","Gene","Dataset","Species"
-0.774615202770013,8.75524041528114,1.00644854520224e-09,7.91077790001855e-08,"Atp2b4","GSE104036","Mouse"
6.24006382396934,1.99955169380811,1.02121630247408e-09,7.99020152643533e-08,"Ptx3","GSE104036","Mouse"
-0.795234608192342,5.74626584466509,1.05238759019996e-09,8.19666425367104e-08,"Hipk4","GSE104036","Mouse"
-0.746204649786917,5.62653556522263,1.07092160174664e-09,8.30327676286365e-08,"Fxyd6","GSE104036","Mouse"
-0.78827785176056,6.19931469977125,1.08498887948025e-09,8.37445245490725e-08,"Syngr3","GSE104036","Mouse"
1.0823953020604,5.72815232104752,1.10895582878856e-09,8.52105745573633e-08,"Usp36","GSE104036","Mouse"
2.12619767759781,0.156752108974468,1.11405355581432e-09,8.52201235664217e-08,"Myo15","GSE104036","Mouse"
1.17169609253207,3.91828959542372,1.12116156037712e-09,8.52872749621057e-08,"Arid5a","GSE104036","Mouse"
-0.759851450957574,5.73849712206602,1.12488614773481e-09,8.52872749621057e-08,"Flot2","GSE104036","Mouse"
-0.770544871654254,5.2958727538953,1.15861199550125e-09,8.74573415987399e-08,"Mgst3","GSE104036","Mouse"
2.82958146937966,2.55517165283104,1.28122850274147e-09,9.62888175196277e-08,"Ms4a6d","GSE104036","Mouse"
-0.727881113062006,9.0260304376263,1.29523092443978e-09,9.69160781234747e-08,"Syp","GSE104036","Mouse"
0.919704451850553,4.00354345188748,1.36132868373059e-09,1.01418986937929e-07,"Ddx39","GSE104036","Mouse"
-0.976961924467191,4.77887260243279,1.38917716670077e-09,1.03045674248561e-07,"Gm24336","GSE104036","Mouse"
-0.717355377965892,6.66057987133211,1.45999047450911e-09,1.078316240548e-07,"Dusp3","GSE104036","Mouse"
-0.873983879316968,4.72660135710403,1.54259525204296e-09,1.13443646539726e-07,"Htr2a","GSE104036","Mouse"
3.06064186702363,-1.14632800019897,1.62016526295702e-09,1.18639024704139e-07,"Cyp3a13","GSE104036","Mouse"
1.06631683429051,3.92151843727018,1.64128474478459e-09,1.19674102561208e-07,"Cyb5r1","GSE104036","Mouse"
-0.670063980855798,7.39967482467736,1.79908674937118e-09,1.30624370552861e-07,"Atp6v0e2","GSE104036","Mouse"
2.55193243361411,1.05493013216083,1.81100395391068e-09,1.30934821731053e-07,"Apobec1","GSE104036","Mouse"
1.11268876019333,2.97063329805398,1.88590608244898e-09,1.3577731396119e-07,"Arrdc4","GSE104036","Mouse"
