"Name","Score","Gene"
"ILMN_70484",0.00119883113122472,"ILMN_70484"
"1367676_at",0.00120055872101913,"1367676_at"
"1367613_at",0.00120476217348396,"1367613_at"
"1383616_at",0.00122164872983934,"1383616_at"
"1398315_at",0.00123439002056621,"1398315_at"
"1384186_at",0.00125577094876901,"1384186_at"
"1370090_at",0.00126868675560679,"1370090_at"
"1370080_at",0.00126868675560679,"1370080_at"
"1372478_at",0.00127300656398571,"1372478_at"
"1374551_at",0.00127733364146456,"1374551_at"
"1376100_at",0.00132982542636145,"1376100_at"
"1376006_at",0.00133867577451857,"1376006_at"
"1395574_at",0.00134755517688309,"1395574_at"
"1370871_at",0.00136092875059704,"1370871_at"
"1390383_at",0.00136540113240042,"1390383_at"
"1372778_at",0.00137436767963656,"1372778_at"
"1398796_at",0.00137886184432978,"1398796_at"
"ILMN_1743032",0.00139861011782123,"ILMN_1743032"
"ILMN_3420671",0.00139861011782123,"ILMN_3420671"
"1368840_at",0.00139861011782123,"1368840_at"
"1369200_at",0.00140144156375717,"1369200_at"
"1372042_at",0.00141963599226859,"1372042_at"
"1387566_at",0.00141963599226859,"1387566_at"
"1371073_at",0.00142420274256125,"1371073_at"
"1372439_at",0.00144714533452894,"1372439_at"
"1367597_at",0.00145175561843567,"1367597_at"
"1376151_a_at",0.00147956964941809,"1376151_a_at"
"1387947_at",0.00149825738348388,"1387947_at"
"1389304_at",0.00152650649556461,"1389304_at"
"1388895_at",0.00155979358936629,"1388895_at"
"1399033_at",0.00155979358936629,"1399033_at"
"1372546_at",0.00157416818122817,"1372546_at"
"1371913_at",0.00157897420174169,"1371913_at"
"AFFX_Rat_beta-actin_3_at",0.00157897420174169,"AFFX_Rat_beta-actin_3_at"
"ILMN_2116127",0.00159838161864757,"ILMN_2116127"
"ILMN_110382",0.00159838161864757,"ILMN_110382"
"1398749_at",0.00162743278410673,"1398749_at"
"1376256_at",0.00167166459318526,"1376256_at"
"1388337_at",0.00170147816157806,"1388337_at"
"1368029_at",0.00171147390241989,"1368029_at"
"1372254_at",0.00173155219344456,"1372254_at"
"1388149_at",0.00175174621056399,"1388149_at"
"1367569_at",0.00176696765443804,"1367569_at"
"1391106_at",0.00179760575022165,"1391106_at"
"ILMN_1809583",0.00179814563389074,"ILMN_1809583"
"ILMN_1710687",0.00179814563389074,"ILMN_1710687"
"1385926_at",0.00179814563389074,"1385926_at"
"1391593_at",0.00180787627740512,"1391593_at"
"1376579_at",0.00182333627233095,"1376579_at"
"1371150_at",0.00183367906740882,"1371150_at"
"1371295_at",0.00185445136058237,"1371295_at"
"1374284_at",0.00185966249485147,"1374284_at"
"1371440_at",0.00187010643397703,"1371440_at"
"1390298_at",0.00187533923809537,"1390298_at"
"1372516_at",0.0018805792647587,"1372516_at"
"1398757_at",0.00190688772333395,"1398757_at"
"1369941_at",0.00191217107751759,"1369941_at"
"1377092_at",0.00191746165166309,"1377092_at"
"1378001_at",0.00192806445836371,"1378001_at"
"1398882_at",0.00194935669507215,"1398882_at"
"1371527_at",0.00196004611917663,"1371527_at"
"1374601_at",0.00198151156412864,"1374601_at"
"1392407_at",0.00199768640837201,"1392407_at"
"ILMN_1750158",0.00199790216373774,"ILMN_1750158"
"ILMN_6520156",0.00199790216373774,"ILMN_6520156"
"1367651_at",0.00199790216373774,"1367651_at"
"1387011_at",0.00199790216373774,"1387011_at"
"1388046_at",0.00201392617914516,"1388046_at"
"1384063_at",0.00201935386246587,"1384063_at"
"1384148_at",0.00202478875836997,"1384148_at"
"1397552_at",0.0020302308664886,"1397552_at"
"1387995_a_at",0.00205207141373183,"1387995_a_at"
"1374113_at",0.00206303495105112,"1374113_at"
"1389905_at",0.00206852753434436,"1389905_at"
"1376321_at",0.00210163441574042,"1376321_at"
"1394999_at",0.00212942168086418,"1394999_at"
"1371446_at",0.00214058702594886,"1371446_at"
"1398836_s_at",0.00215178118891482,"1398836_s_at"
"1377967_at",0.00216300416681252,"1377967_at"
"1388480_at",0.00217989265520427,"1388480_at"
"1383080_at",0.00219118765752786,"1383080_at"
"ILMN_1671404",0.00219765120837556,"ILMN_1671404"
"ILMN_5310170",0.00219765120837556,"ILMN_5310170"
"1386893_at",0.00219765120837556,"1386893_at"
"1371237_a_at",0.00219765120837556,"1371237_a_at"
"1378056_at",0.00220251146446069,"1378056_at"
"AFFX_Rat_beta-actin_M_at",0.00220251146446069,"AFFX_Rat_beta-actin_M_at"
"1388314_at",0.00223094698260551,"1388314_at"
"1386882_at",0.00223665568342496,"1386882_at"
