OriginalID,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,Dataset,Species
1396716_at,Rab23,-0.32748166606086,5.92745664843145,0.0008697815144528,0.0033614185805852,GSE61616,Rat
1376705_a_at,Rab24,-0.240206488002765,9.88453559942414,0.0004423359916454,0.0019878911855753,GSE61616,Rat
1377363_at,Rab25,-0.0962621224125239,5.57085117636269,0.22466666016464,0.306798402291107,GSE61616,Rat
1369004_at,Rab26,-0.560389723166682,10.0820496800525,0.0101522773914524,0.0240406361529564,GSE61616,Rat
1377669_at,Rab27a,2.45956391116817,7.42502090018522,2.20318245162183e-08,1.38979251649062e-06,GSE61616,Rat
1370122_at,Rab27b,-0.313713243275196,5.24529190429975,0.0087164289180439,0.0212822660691095,GSE61616,Rat
1368216_at,Rab28,-0.186847050519147,11.340528461483,0.0032330017188289,0.0094959501750909,GSE61616,Rat
1392681_at,Rab2a,-0.369762697723773,12.4770910241514,5.81155189170097e-06,8.13015979667154e-05,GSE61616,Rat
1375985_at,Rab2b,-0.212559819256883,9.62744943827118,0.0087334371214684,0.0213087369402595,GSE61616,Rat
1398640_at,Rab30,0.29096559031355,6.39760527358973,0.0091858655642709,0.0221966770150166,GSE61616,Rat
1373894_at,Rab31,0.958994294589091,10.6232496369581,3.9979168300891e-08,2.09664781617101e-06,GSE61616,Rat
1383786_at,Rab32,3.91727731605776,7.3427969678024,9.14065751555276e-10,1.58807434679428e-07,GSE61616,Rat
1392092_at,Rab33a,-0.541802853830426,9.47745623816645,0.0005543354192337,0.0023719423779236,GSE61616,Rat
1383232_at,Rab33b,-0.0991344549171694,8.93666494532362,0.215981874098298,0.297217589388158,GSE61616,Rat
1376573_at,Rab34,0.78297944045871,8.98258599134581,0.0006508308436611,0.0026825962103404,GSE61616,Rat
1390268_at,Rab35,0.0732551559695809,8.03011306817369,0.252858336160049,0.337886881632852,GSE61616,Rat
1379144_at,Rab36,-0.577755579797109,7.8517828177361,0.0016155995712901,0.0054582869166269,GSE61616,Rat
1370414_at,Rab38,1.02386540926135,6.82456016709864,0.0002692046774117,0.0013564514377211,GSE61616,Rat
1391434_at,Rab3a,-0.768648389490927,11.1562430784087,3.60057962192825e-05,0.0003081299550422,GSE61616,Rat
1370061_at,Rab3b,-0.0315794788932793,8.53012454920718,0.757757063343146,0.811148523781787,GSE61616,Rat
1387147_at,Rab3c,-0.718224287200328,6.78476956642591,0.0385949664960822,0.0721486452910352,GSE61616,Rat
1370055_at,Rab3d,0.166665981130982,7.69237143704545,0.245842794188009,0.329972596307851,GSE61616,Rat
1374502_at,Rab3gap2,-0.154507190305812,8.42479862113972,0.0514463029787091,0.091539568390827,GSE61616,Rat
1369305_at,Rab3il1,0.652206502022296,5.06344679083373,0.0001141760974755,0.0007239067187341,GSE61616,Rat
1391274_at,Rab3ip,-0.53318212121344,8.08480337965556,0.0030118863677929,0.0089787820314409,GSE61616,Rat
1386602_at,Rab40b,-1.2680496177643,6.72664352236592,2.43050273765154e-07,7.70501576332573e-06,GSE61616,Rat
1372636_at,Rab40c,-0.227048165495774,8.46222629490981,0.0101661821485829,0.0240680647563018,GSE61616,Rat
1394486_at,Rab43,0.132537464918598,5.49251626300791,0.140069788294818,0.208662116601866,GSE61616,Rat
1370181_at,Rab4a,-0.414684597252339,8.67724962931103,1.09652055791738e-05,0.0001284167610105,GSE61616,Rat
1367955_at,Rab4b,-0.22639102647883,6.76688451959046,0.0073011901532655,0.0184451431824861,GSE61616,Rat
1388800_at,Rab5a,-0.0964805974975178,11.3754594062644,0.0921504806548828,0.148263634843303,GSE61616,Rat
1392643_at,Rab5b,-0.239046666488746,3.99312473987844,0.0142074891441778,0.0317298890409181,GSE61616,Rat
1371836_at,Rab5c,0.368334247930384,10.7676910551622,0.0003673750136718,0.0017219284928684,GSE61616,Rat
1372707_at,Rab6a,-0.450829576480555,12.4881682922983,4.96384659699261e-06,7.22709107302777e-05,GSE61616,Rat
1392478_at,Rab6b,-1.09218672392481,8.6522750962494,4.92196853916564e-06,7.18630514551701e-05,GSE61616,Rat
1398838_at,Rab7a,0.420509452183334,8.83070151450712,0.0009161387158073,0.0034996926572772,GSE61616,Rat
1394999_at,Rab7b,1.16721549497242,5.65726699293828,1.37333471059959e-07,5.10877226853308e-06,GSE61616,Rat
1368096_at,Rab7l1,0.20032173025335,9.83887446449028,0.0069503650032121,0.0176939588437209,GSE61616,Rat
1370001_at,Rab8a,0.691928507643048,9.0350324103151,1.66375822095158e-05,0.0001746833791808,GSE61616,Rat
1391347_at,Rab8b,0.346048880097704,10.0142064690003,0.0030588162558834,0.0090881940137308,GSE61616,Rat
1387186_at,Rab9a,0.587219044648876,8.78638868685302,0.0001991555624243,0.0010816688302845,GSE61616,Rat
1383483_at,Rab9b,-0.437510301835078,8.89782812638624,0.0694626720074041,0.117518204589177,GSE61616,Rat
1398780_at,Rabac1,-0.259147756616565,11.4270760962013,0.0002664036161243,0.0013460416016004,GSE61616,Rat
1374781_at,Rabep1,-0.631281264097881,8.81841456480401,1.73546367028975e-05,0.000180622922062,GSE61616,Rat
1369024_at,Rabep2,0.654860543149479,5.89105149103471,0.0001189391222671,0.0007436126798871,GSE61616,Rat
1372061_at,Rabepk,-0.266484755589814,8.69882813773847,0.0018187405913767,0.0059890950498966,GSE61616,Rat
1367534_at,Rabgap1,-0.27638353720942,9.90694482860428,0.0001835251095216,0.0010196344347636,GSE61616,Rat
1391897_at,Rabgap1l,-0.0870274287984337,5.89881925008985,0.474964614037094,0.561909861602297,GSE61616,Rat
1380846_at,Rabgef1,-0.522784263619369,6.52336699365192,7.84867550398772e-05,0.0005447131432682,GSE61616,Rat
