gene,log2FC,pvalue,mean_plus,mean_minus,in_core
Btf3l4,0.2696943021933234,1.6532348860756845e-06,1.732237274063901,1.4368826633158098,False
Mrps21,-0.3564047487523207,1.6550958234152236e-06,0.8245102653239909,1.0555640409561111,False
Gsn,0.5185314766321588,2.0338644756813187e-06,1.2945821508043966,0.9037245634673431,False
Atp2b3,0.0,2.154607414660441e-06,0.0,7.594984561583934,False
Ptprc,0.023750011576091155,2.2745111179370204e-06,2.283200865504277,2.2459219235175576,False
Ak1,0.29393067038247284,2.3049927702357345e-06,3.602646855568974,2.9385950633027877,False
Cfh,0.4715583927164889,2.501303503673778e-06,1.5763352800879418,1.136829604704261,False
Ift74,0.5857757793147115,3.1008668589279776e-06,3.967333561975043,2.6433984799707977,False
Dusp2,-0.2368004749554253,3.210807523596631e-06,3.5699875109604653,4.20678912695849,False
Nrp2,0.5257273515951895,3.2611732048315682e-06,3.6919777406309477,2.5644803257244946,False
1700026L06Rik,0.42039653039039654,3.3370431098536e-06,8.401633211314483,6.277861814526461,False
Rpl37a,0.04850956787028845,3.501963572794253e-06,0.5461540316911143,0.5280953080485734,False
Sh3d19,1.2335850468920584,3.5737503564860575e-06,9.047169466142321,3.847393651387773,False
Abhd12,0.6661749452262962,3.7386000660722097e-06,1.233919204317154,0.7775853731011937,False
Dynlrb1,-0.3284622428410472,3.802090181076852e-06,0.6374710034978571,0.8004559227999549,False
Zcchc18,0.0,3.908526389785344e-06,0.0,3.241313944473088,False
Olfml3,0.29341989634430266,4.250475690797978e-06,1.069987958420286,0.8730732860735203,False
Sdcbp,0.5086066517005804,4.369153809055956e-06,0.9194716975285269,0.646297546893606,False
Glipr2,0.987397351109661,4.765493296865483e-06,3.7800824274478586,1.9066239747029612,False
Lrrfip1,-0.14590905190315356,5.149997827848576e-06,1.7123513640972745,1.8945928122520994,False
Acadm,0.3293652541892857,5.704054744474191e-06,1.666698383105871,1.326502867282032,False
Dnajc1,0.16369031451251548,5.871026989238646e-06,2.072637689890593,1.850323636518826,False
Tor1aip1,0.5251046703384813,6.0657791521128716e-06,1.5134904251981929,1.0517376503843887,False
Sept2,0.46365768358143994,6.169064915535805e-06,1.468510561099389,1.0648837595809213,False
Chd7,0.23490284300833414,6.453506176546391e-06,2.5243655334074444,2.145059978337514,False
Tmem59,-0.26486394999637797,6.492801728797028e-06,0.5415190762272297,0.6506474828088861,False
Frmpd4,0.0,7.049655621639341e-06,0.0,8.902925921780216,False
Gm17634,0.0,7.064881198325271e-06,0.0,7.152768401376794,False
Tmem9,0.22771983709222277,7.311235631521949e-06,2.134364256949259,1.8227119371387221,False
