"pathway_name","source","target","prob","n_interactions"
"Glutamate","GABAergic 1","Glutamatergic 5",300.911428951361,360
"Glutamate","GABAergic 1","Glutamatergic 9",300.751829051982,352
"Glutamate","GABAergic 4","Glutamatergic 5",299.376218645822,360
"Glutamate","GABAergic 4","Glutamatergic 9",299.296662837844,360
"Glutamate","GABAergic 5","GABAergic 3",298.186407953631,360
"Glutamate","GABAergic 1","Neuro 1",297.360379256811,376
"Glutamate","Glutamatergic 6","OPC",297.340324261822,360
"Glutamate","GABAergic 4","Neuro 1",295.848528283095,376
"Glutamate","GABAergic 1","Glutamatergic 1",293.631422291502,376
"Glutamate","Glutamatergic 4","OPC",293.611078007362,360
"Glutamate","GABAergic 1","GABAergic 6",293.548044630257,368
"Glutamate","GABAergic 4","Glutamatergic 1",292.130100443112,376
"Glutamate","GABAergic 4","GABAergic 6",292.028196166475,368
"Glutamate","GABAergic 5","GABAergic 2",291.513156424723,360
"Glutamate","GABAergic 5","Glutamatergic 7",290.675585605953,352
"Glutamate","GABAergic 3","GABAergic 5",289.745060182228,344
"Glutamate","Glutamatergic 3","OPC",289.723597305571,360
"Glutamate","GABAergic 5","Glutamatergic 4",288.669918880823,352
"Glutamate","GABAergic 6","GABAergic 5",288.250303413577,352
"Glutamate","Glutamatergic 7","OPC",282.969197875338,360
"Glutamate","GABAergic 5","Glutamatergic 5",282.704215464076,360
"Glutamate","GABAergic 5","Glutamatergic 9",282.554119160746,352
"Glutamate","GABAergic 5","Neuro 1",279.29182284452,368
"Glutamate","GABAergic 1","GABAergic 4",278.35038465083,360
"Glutamate","GABAergic 4","GABAergic 4",276.982495308012,368
"Glutamate","GABAergic 5","Glutamatergic 1",275.864678653055,376
"Glutamate","GABAergic 5","GABAergic 6",275.786225420245,368
"Glutamate","Glutamatergic 5","OPC",275.018782699874,360
"Glutamate","GABAergic 1","Glutamatergic 6",274.12665185943,376
"Glutamate","Glutamatergic 8","OPC",272.856330030206,360
"Glutamate","GABAergic 4","Glutamatergic 6",272.818468425223,384
"Glutamate","MG","GABAergic 1",267.306374186732,360
"Glutamate","MG","Glutamatergic 10",266.479047520609,360
"Glutamate","MG","Glutamatergic 3",263.137302772537,360
"Glutamate","GABAergic 5","GABAergic 4",261.50798328966,360
"Glutamate","GABAergic 1","GABAergic 5",257.572567262395,344
"Glutamate","GABAergic 5","Glutamatergic 6",257.539951571163,376
"Glutamate","GABAergic 4","GABAergic 5",256.248517152328,344
