rank,MOL_ID,molecule_name,SMILES,composite_score_adjusted,composite_score,NFE2L2,HMOX1,GPX4,TFRC,SLC7A11,ACSL4,FTH1,PTGS2,KEAP1
404,MOL009278,Laricitrin,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc(O)c1O,0.5108643483140344,0.5108643483140344,0.7487663626670837,0.5502474904060364,0.48827144503593445,0.29556363821029663,0.30639979243278503,0.25096672773361206,0.28878697752952576,0.7586075067520142,0.7333787083625793
405,MOL014006,Liouvillosides A2_qt,COC(=O)N[C@@H]1[C@@H](C)O[C@@H](O[C@@H]2C/C=C(/C)[C@@H]3C=C[C@@H]4[C@@H](O[C@H]5C[C@H](O[C@@H]6CC[C@H](O)[C@@H](C)O6)[C@H](OC(C)=O)[C@@H](C)O5)[C@H](C)C[C@H](C)[C@@H]4[C@@]3(C)C(O)=C3C(=O)O[C@]4(CC(C=O)=C[C@H](O)[C@@H]4/C=C/2C)C3=O)C[C@]1(C)[N+](=O)[O-],0.5108508419363098,0.5108508419363098,0.7447168827056885,0.5700490474700928,0.514877200126648,0.2773924469947815,0.3016352653503418,0.26065558195114136,0.27828288078308105,0.7601175308227539,0.7269303202629089
406,MOL007412,DMQT,Cc1ccc(-n2cc3c(c2-c2ccccc2)c(=O)n(C)c(=O)n3C)cc1,0.5102288360613949,0.5102288360613949,0.7506003975868225,0.5812937021255493,0.5188111066818237,0.27978891134262085,0.3070123791694641,0.26545432209968567,0.28124457597732544,0.7600488662719727,0.7326459884643555
407,MOL001421,preleoheterin,C[C@@H]1[C@@H](O)C(=O)[C@H]2C(C)(C)CCC[C@]2(C)[C@@]12CC[C@]1(C=COC1)O2,0.5097508647302649,0.5097508647302649,0.749325156211853,0.5560687780380249,0.5068154335021973,0.26731789112091064,0.2846858501434326,0.2628672122955322,0.2722194790840149,0.7604634761810303,0.7214615345001221
408,,Alisol c,CC(CC(O)C1OC1(C)C)C1=C2CC(O)C3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C2(C)CC1=O,0.5093336394773549,0.5093336394773549,0.7478532791137695,0.5613164305686951,0.49642470479011536,0.27320146560668945,0.28605401515960693,0.2547198534011841,0.27955302596092224,0.7585767507553101,0.7269383668899536
409,MOL004077,sugeonyl acetate,CC(=O)O[C@@H]1C2=C(C)C(=O)C[C@]23[C@H](C)CC[C@H]1C3(C)C,0.5092309974045663,0.5092309974045663,0.7455545663833618,0.5720878839492798,0.5221619009971619,0.26656246185302734,0.3069443702697754,0.2537517547607422,0.27069008350372314,0.7590631246566772,0.7194559574127197
410,MOL002281,Toralactone,COc1cc(O)c2c(O)c3c(=O)oc(C)cc3cc2c1,0.5088199955021858,0.5088199955021858,0.7499953508377075,0.599639892578125,0.5587369203567505,0.2879062294960022,0.3297137916088104,0.2670024633407593,0.295299768447876,0.7607007622718811,0.7260507345199585
411,MOL007923,2-(4-hydroxyphenyl)ethyl (E)-3-(4-hydroxyphenyl)prop-2-enoate,COc1cc(O)ccc1-c1oc2cc(O)ccc2c1C=O,0.5082809674357563,0.5082809674357563,0.7526793479919434,0.560151994228363,0.4890509247779846,0.29186707735061646,0.3018830418586731,0.2613790035247803,0.28075921535491943,0.7606357336044312,0.7354707717895508
412,MOL002932,Panicolin,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,0.5081326746677512,0.5081326746677512,0.7433774471282959,0.530259370803833,0.4763966202735901,0.26063454151153564,0.2847543954849243,0.253393292427063,0.2693788409233093,0.7599048614501953,0.7073767185211182
413,MOL003600,cnidimol B,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(C)C,0.507619256592076,0.507619256592076,0.7462380528450012,0.5606546998023987,0.5215150713920593,0.26768937706947327,0.29881227016448975,0.25678014755249023,0.27344250679016113,0.7597204446792603,0.714954137802124
414,MOL001458,coptisine,c1c2c(cc3c1OCO3)-c1cc3ccc4c(c3c[n+]1CC2)OCO4,0.506884951414349,0.506884951414349,0.7461391687393188,0.5727360248565674,0.49744269251823425,0.2722732722759247,0.2968236207962036,0.25330618023872375,0.26684311032295227,0.7602471113204956,0.7230631709098816
415,MOL009495,"2-hydroxy-1,5-dimethoxy-6-(methoxymethyl)-9,10-anthraquinone",CCOn1cc(CC(=O)Nc2ccccc2Cl)c2ccccc21,0.5065590034345084,0.5065590034345084,0.7441992163658142,0.5912517309188843,0.5305373668670654,0.2656209468841553,0.3204636871814728,0.26232796907424927,0.2766574025154114,0.7599927186965942,0.7129600048065186
416,MOL003389,3'-O-Methylorobol,COc1cc(-c2coc3cc(O)cc(O)c3c2=O)ccc1O,0.5065131188838405,0.5065131188838405,0.7517805695533752,0.5169576406478882,0.47836288809776306,0.29488858580589294,0.3080659806728363,0.26570212841033936,0.29044634103775024,0.7568744421005249,0.7404415607452393
417,MOL011939,vitrofolal B,COc1ccc(-c2c(O)c(C=O)cc3ccc(O)c(OC)c23)cc1OC,0.5062386302902735,0.5062386302902735,0.7487475872039795,0.5475972890853882,0.49903008341789246,0.2608194947242737,0.29915177822113037,0.2554779350757599,0.2841835021972656,0.7605573534965515,0.7201148271560669
